date,hour,class,type,regime,p_mean_pred_eur_mwh,Price_EUR_MWh,k_anchor,mu_anchor,TomorrowMean_EUR_MWh,LowQuantileUsed,ValleyHours,ValleyMultBase,Source
2025-12-23,0,LAB_INV,LAB,NORMAL,140.55,94.75198316775874,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,1,LAB_INV,LAB,NORMAL,140.55,85.82327499864603,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,2,LAB_INV,LAB,NORMAL,140.55,79.31248605324319,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,3,LAB_INV,LAB,NORMAL,140.55,75.48957853363096,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,4,LAB_INV,LAB,NORMAL,140.55,103.65450218422777,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,5,LAB_INV,LAB,NORMAL,140.55,110.41819280064401,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,6,LAB_INV,LAB,NORMAL,140.55,128.6298386921997,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,7,LAB_INV,LAB,NORMAL,140.55,154.60842758622618,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,8,LAB_INV,LAB,NORMAL,140.55,168.92492561219018,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,9,LAB_INV,LAB,NORMAL,140.55,168.26576866732003,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,10,LAB_INV,LAB,NORMAL,140.55,158.01032348212786,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,11,LAB_INV,LAB,NORMAL,140.55,148.751276504816,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,12,LAB_INV,LAB,NORMAL,140.55,143.77330809265987,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,13,LAB_INV,LAB,NORMAL,140.55,140.6839411769262,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,14,LAB_INV,LAB,NORMAL,140.55,136.4916248304314,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,15,LAB_INV,LAB,NORMAL,140.55,135.94107576722365,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,16,LAB_INV,LAB,NORMAL,140.55,143.14434918101918,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,17,LAB_INV,LAB,NORMAL,140.55,159.99116058736504,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,18,LAB_INV,LAB,NORMAL,140.55,176.7661298970605,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,19,LAB_INV,LAB,NORMAL,140.55,189.95487759773243,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,20,LAB_INV,LAB,NORMAL,140.55,190.20118772843423,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,21,LAB_INV,LAB,NORMAL,140.55,176.8410579206907,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,22,LAB_INV,LAB,NORMAL,140.55,159.56272922046182,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-23,23,LAB_INV,LAB,NORMAL,140.55,143.2079797169646,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,0,LAB_INV,LAB,NORMAL,128.24027839209467,86.45336677080361,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,1,LAB_INV,LAB,NORMAL,128.24027839209467,78.30665726323488,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,2,LAB_INV,LAB,NORMAL,128.24027839209467,72.36609954775548,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,3,LAB_INV,LAB,NORMAL,128.24027839209467,68.87801185951425,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,4,LAB_INV,LAB,NORMAL,128.24027839209467,94.57618083741978,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,5,LAB_INV,LAB,NORMAL,128.24027839209467,100.74749046109262,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,6,LAB_INV,LAB,NORMAL,128.24027839209467,117.3641147165985,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,7,LAB_INV,LAB,NORMAL,128.24027839209467,141.0674336209296,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
