scenario,date,hour,class,type,regime,price
HIGH,2025-12-23,0,LAB_INV,LAB,NORMAL,113.70237980131049
HIGH,2025-12-23,1,LAB_INV,LAB,NORMAL,102.98792999837524
HIGH,2025-12-23,2,LAB_INV,LAB,NORMAL,95.17498326389183
HIGH,2025-12-23,3,LAB_INV,LAB,NORMAL,90.58749424035715
HIGH,2025-12-23,4,LAB_INV,LAB,NORMAL,124.38540262107331
HIGH,2025-12-23,5,LAB_INV,LAB,NORMAL,132.5018313607728
HIGH,2025-12-23,6,LAB_INV,LAB,NORMAL,154.35580643063966
HIGH,2025-12-23,7,LAB_INV,LAB,NORMAL,185.53011310347142
HIGH,2025-12-23,8,LAB_INV,LAB,NORMAL,202.7099107346282
HIGH,2025-12-23,9,LAB_INV,LAB,NORMAL,201.91892240078403
HIGH,2025-12-23,10,LAB_INV,LAB,NORMAL,189.61238817855343
HIGH,2025-12-23,11,LAB_INV,LAB,NORMAL,178.5015318057792
HIGH,2025-12-23,12,LAB_INV,LAB,NORMAL,172.52796971119184
HIGH,2025-12-23,13,LAB_INV,LAB,NORMAL,168.82072941231144
HIGH,2025-12-23,14,LAB_INV,LAB,NORMAL,163.78994979651767
HIGH,2025-12-23,15,LAB_INV,LAB,NORMAL,163.12929092066838
HIGH,2025-12-23,16,LAB_INV,LAB,NORMAL,171.773219017223
HIGH,2025-12-23,17,LAB_INV,LAB,NORMAL,191.98939270483805
HIGH,2025-12-23,18,LAB_INV,LAB,NORMAL,212.11935587647258
HIGH,2025-12-23,19,LAB_INV,LAB,NORMAL,227.94585311727892
HIGH,2025-12-23,20,LAB_INV,LAB,NORMAL,228.24142527412107
HIGH,2025-12-23,21,LAB_INV,LAB,NORMAL,212.20926950482882
HIGH,2025-12-23,22,LAB_INV,LAB,NORMAL,191.47527506455418
HIGH,2025-12-23,23,LAB_INV,LAB,NORMAL,171.8495756603575
HIGH,2025-12-24,0,LAB_INV,LAB,NORMAL,103.74404012496433
HIGH,2025-12-24,1,LAB_INV,LAB,NORMAL,93.96798871588186
HIGH,2025-12-24,2,LAB_INV,LAB,NORMAL,86.83931945730657
HIGH,2025-12-24,3,LAB_INV,LAB,NORMAL,82.6536142314171
HIGH,2025-12-24,4,LAB_INV,LAB,NORMAL,113.49141700490374
HIGH,2025-12-24,5,LAB_INV,LAB,NORMAL,120.89698855331115
HIGH,2025-12-24,6,LAB_INV,LAB,NORMAL,140.8369376599182
HIGH,2025-12-24,7,LAB_INV,LAB,NORMAL,169.2809203451155
HIGH,2025-12-24,8,LAB_INV,LAB,NORMAL,184.95606819954023
HIGH,2025-12-24,9,LAB_INV,LAB,NORMAL,184.23435660838348
HIGH,2025-12-24,10,LAB_INV,LAB,NORMAL,173.00565952762437
HIGH,2025-12-24,11,LAB_INV,LAB,NORMAL,162.86791983058313
HIGH,2025-12-24,12,LAB_INV,LAB,NORMAL,157.41753729054508
HIGH,2025-12-24,13,LAB_INV,LAB,NORMAL,154.03498639766133
HIGH,2025-12-24,14,LAB_INV,LAB,NORMAL,149.44481508169784
HIGH,2025-12-24,15,LAB_INV,LAB,NORMAL,148.84201836763793
HIGH,2025-12-24,16,LAB_INV,LAB,NORMAL,156.72888955585148
HIGH,2025-12-24,17,LAB_INV,LAB,NORMAL,175.1744800341346
HIGH,2025-12-24,18,LAB_INV,LAB,NORMAL,193.5414105297093
HIGH,2025-12-24,19,LAB_INV,LAB,NORMAL,207.98178343709262
HIGH,2025-12-24,20,LAB_INV,LAB,NORMAL,208.2514686429154
HIGH,2025-12-24,21,LAB_INV,LAB,NORMAL,193.62344929692134
HIGH,2025-12-24,22,LAB_INV,LAB,NORMAL,174.70539010659073
HIGH,2025-12-24,23,LAB_INV,LAB,NORMAL,156.79855869261885
HIGH,2025-12-25,0,DOM_INV,DOM,LOW,89.66154378502775
HIGH,2025-12-25,1,DOM_INV,DOM,LOW,82.70376095003009
HIGH,2025-12-25,2,DOM_INV,DOM,LOW,78.54393291746071
HIGH,2025-12-25,3,DOM_INV,DOM,LOW,74.6372867444255
HIGH,2025-12-25,4,DOM_INV,DOM,LOW,87.5374279303422
HIGH,2025-12-25,5,DOM_INV,DOM,LOW,87.13949533250965
HIGH,2025-12-25,6,DOM_INV,DOM,LOW,88.50485211679955
HIGH,2025-12-25,7,DOM_INV,DOM,LOW,92.19656489927259
HIGH,2025-12-25,8,DOM_INV,DOM,LOW,96.33382132710997
HIGH,2025-12-25,9,DOM_INV,DOM,LOW,99.30931476679547
HIGH,2025-12-25,10,DOM_INV,DOM,LOW,98.93829545601879
HIGH,2025-12-25,11,DOM_INV,DOM,LOW,96.43286626078883
HIGH,2025-12-25,12,DOM_INV,DOM,LOW,94.31214333449891
HIGH,2025-12-25,13,DOM_INV,DOM,LOW,94.95223614813487
HIGH,2025-12-25,14,DOM_INV,DOM,LOW,93.12782574235055
HIGH,2025-12-25,15,DOM_INV,DOM,LOW,89.93326480849453
HIGH,2025-12-25,16,DOM_INV,DOM,LOW,95.73109162982706
HIGH,2025-12-25,17,DOM_INV,DOM,LOW,110.97850406515977
HIGH,2025-12-25,18,DOM_INV,DOM,LOW,125.06245645734138
HIGH,2025-12-25,19,DOM_INV,DOM,LOW,135.04402115274357
HIGH,2025-12-25,20,DOM_INV,DOM,LOW,142.05154208600672
HIGH,2025-12-25,21,DOM_INV,DOM,LOW,139.19331385441268
HIGH,2025-12-25,22,DOM_INV,DOM,LOW,128.14970867826824
HIGH,2025-12-25,23,DOM_INV,DOM,LOW,118.43397053124357
HIGH,2025-12-26,0,LAB_INV,LAB,NORMAL,90.41772178260838
HIGH,2025-12-26,1,LAB_INV,LAB,NORMAL,81.89744152964961
HIGH,2025-12-26,2,LAB_INV,LAB,NORMAL,75.68447707476916
HIGH,2025-12-26,3,LAB_INV,LAB,NORMAL,72.03644167801183
HIGH,2025-12-26,4,LAB_INV,LAB,NORMAL,98.913010859253
HIGH,2025-12-26,5,LAB_INV,LAB,NORMAL,105.36730844684016
HIGH,2025-12-26,6,LAB_INV,LAB,NORMAL,122.7458949035548
HIGH,2025-12-26,7,LAB_INV,LAB,NORMAL,147.53613933322615
HIGH,2025-12-26,8,LAB_INV,LAB,NORMAL,161.19775455368037
HIGH,2025-12-26,9,LAB_INV,LAB,NORMAL,160.56874957394476
HIGH,2025-12-26,10,LAB_INV,LAB,NORMAL,150.7824215361479
HIGH,2025-12-26,11,LAB_INV,LAB,NORMAL,141.94691323776797
HIGH,2025-12-26,12,LAB_INV,LAB,NORMAL,137.19665315998105
HIGH,2025-12-26,13,LAB_INV,LAB,NORMAL,134.2486038534389
HIGH,2025-12-26,14,LAB_INV,LAB,NORMAL,130.2480575812736
HIGH,2025-12-26,15,LAB_INV,LAB,NORMAL,129.7226924083182
HIGH,2025-12-26,16,LAB_INV,LAB,NORMAL,136.59646485801449
HIGH,2025-12-26,17,LAB_INV,LAB,NORMAL,152.67264876190316
HIGH,2025-12-26,18,LAB_INV,LAB,NORMAL,168.68027685840875
HIGH,2025-12-26,19,LAB_INV,LAB,NORMAL,181.26572869163368
HIGH,2025-12-26,20,LAB_INV,LAB,NORMAL,181.50077180234734
HIGH,2025-12-26,21,LAB_INV,LAB,NORMAL,168.7517774325162
HIGH,2025-12-26,22,LAB_INV,LAB,NORMAL,152.26381522786502
HIGH,2025-12-26,23,LAB_INV,LAB,NORMAL,136.6571847279702
HIGH,2025-12-27,0,SAT_INV,SAT,LOW,89.19253861997463
HIGH,2025-12-27,1,SAT_INV,SAT,LOW,83.9465214223133
HIGH,2025-12-27,2,SAT_INV,SAT,LOW,79.43845534177443
HIGH,2025-12-27,3,SAT_INV,SAT,LOW,76.99930620174395
HIGH,2025-12-27,4,SAT_INV,SAT,LOW,90.82613724504778
HIGH,2025-12-27,5,SAT_INV,SAT,LOW,90.47767910797408
