w_D2,w_D3,MAPE_D2_D7,MAPE_D1,MAPE_D2,MAPE_D3,MAPE_D4,MAPE_D5,MAPE_D6,MAPE_D7
0.7,0.3,43693267.951667525,11491013.013437053,34196758.667641416,28707527.405613694,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.7,0.2,43849660.307156295,11491013.013437053,34196758.667641416,29645881.5385463,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.7,0.1,44006052.67745895,11491013.013437053,34196758.667641416,30584235.760362227,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.5,0.3,44011112.98416474,11491013.013437053,36103828.8626247,28707527.405613694,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.7,0.05,44084248.866935976,11491013.013437053,34196758.667641416,31053412.897224374,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.7,0.0,44162445.059114,11491013.013437053,34196758.667641416,31522590.050292574,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.5,0.2,44167505.33965351,11491013.013437053,36103828.8626247,29645881.5385463,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.5,0.1,44323897.70995616,11491013.013437053,36103828.8626247,30584235.760362227,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.3,0.3,44328958.10656311,11491013.013437053,38010899.59701495,28707527.405613694,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.5,0.05,44402093.89943319,11491013.013437053,36103828.8626247,31053412.897224374,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.5,0.0,44480290.091611214,11491013.013437053,36103828.8626247,31522590.050292574,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.3,0.2,44485350.46205188,11491013.013437053,38010899.59701495,29645881.5385463,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.2,0.3,44487880.69066744,11491013.013437053,38964435.10164089,28707527.405613694,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.3,0.1,44641742.83235454,11491013.013437053,38010899.59701495,30584235.760362227,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.2,0.2,44644273.046156205,11491013.013437053,38964435.10164089,29645881.5385463,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.1,0.3,44646803.28673595,11491013.013437053,39917970.67805198,28707527.405613694,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.3,0.05,44719939.021831565,11491013.013437053,38010899.59701495,31053412.897224374,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.3,0.0,44798135.21400959,11491013.013437053,38010899.59701495,31522590.050292574,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.2,0.1,44800665.41645887,11491013.013437053,38964435.10164089,30584235.760362227,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.1,0.2,44803195.64222472,11491013.013437053,39917970.67805198,29645881.5385463,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.0,0.3,44805725.891667895,11491013.013437053,40871506.30764361,28707527.405613694,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.2,0.05,44878861.60593588,11491013.013437053,38964435.10164089,31053412.897224374,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.2,0.0,44957057.79811392,11491013.013437053,38964435.10164089,31522590.050292574,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.1,0.1,44959588.01252738,11491013.013437053,39917970.67805198,30584235.760362227,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.0,0.2,44962118.24715666,11491013.013437053,40871506.30764361,29645881.5385463,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.1,0.05,45037784.202004395,11491013.013437053,39917970.67805198,31053412.897224374,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.1,0.0,45115980.394182436,11491013.013437053,39917970.67805198,31522590.050292574,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.0,0.1,45118510.61745932,11491013.013437053,40871506.30764361,30584235.760362227,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.0,0.05,45196706.806936346,11491013.013437053,40871506.30764361,31053412.897224374,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
0.0,0.0,45274902.99911437,11491013.013437053,40871506.30764361,31522590.050292574,47782985.46928787,53401870.27666384,52722113.796236694,45348352.09456164
