Scenario,Date,Hour,DailyMeanUsed_EUR_MWh,Price_EUR_MWh,Class,Source
LOW,2025-12-23,1,140.55,126.88565635979415,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,2,140.55,114.92891457342886,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,3,140.55,106.21009201015995,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,4,140.55,101.09070438773975,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,5,140.55,99.30770740153206,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,6,140.55,105.78775983085873,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,7,140.55,123.23569275599624,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,8,140.55,148.12485868925592,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,9,140.55,161.84098839918548,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,10,140.55,161.2094734757284,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,11,140.55,151.38409466185493,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,12,140.55,142.51332968142322,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,13,140.55,137.74411445090823,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,14,140.55,134.78430142534015,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,15,140.55,130.76779161342273,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,16,140.55,130.24033005481093,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,17,140.55,137.14153119356175,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,18,140.55,153.28186453689005,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,19,140.55,169.35336851185585,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,20,140.55,181.98904057676157,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,21,140.55,182.2250215893981,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,22,140.55,169.42515439756312,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,23,140.55,152.87139961805377,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-23,24,140.55,137.20249335644243,LAB_INV,ANCHOR_TOMORROW_MEAN
LOW,2025-12-24,1,52.886361666666666,47.74472225226935,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,2,52.886361666666666,43.245621786465996,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,3,52.886361666666666,39.964890350048115,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,4,52.886361666666666,38.038559611441414,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,5,52.886361666666666,37.36765087104186,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,6,52.886361666666666,39.80597457361271,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,7,52.886361666666666,46.371308554506086,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,8,52.886361666666666,55.736640686331405,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,9,52.886361666666666,60.89776623955978,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,10,52.886361666666666,60.66013887107989,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,11,52.886361666666666,56.96303081371584,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,12,52.886361666666666,53.62512626006865,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,13,52.886361666666666,51.83055890647782,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,14,52.886361666666666,50.716836088008215,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,15,52.886361666666666,49.20549784147118,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,16,52.886361666666666,49.007023826857115,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,17,52.886361666666666,51.6038179880694,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,18,52.886361666666666,57.677126466303626,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,19,52.886361666666666,63.724535728113025,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,20,52.886361666666666,68.47910508226458,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,21,52.886361666666666,68.56790036636818,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,22,52.886361666666666,63.75154742725267,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,23,52.886361666666666,57.52267612017018,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-24,24,52.886361666666666,51.62675692079149,LAB_INV,BLEND_w=0.70_baseline=p10
LOW,2025-12-25,1,25.829315,27.972610652741047,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,2,25.829315,24.293364580549742,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,3,25.829315,22.093665148593082,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,4,25.829315,20.027847210832473,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,5,25.829315,19.20900818524703,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,6,25.829315,19.058462592390736,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,7,25.829315,19.575003453005966,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,8,25.829315,20.971649750694823,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,9,25.829315,22.536853820730226,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,10,25.829315,23.662540498216106,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,11,25.829315,23.522176722023257,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,12,25.829315,22.57432443344532,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,13,25.829315,21.77201396186997,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,14,25.829315,22.014173444749087,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,15,25.829315,21.323963726701418,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,16,25.829315,20.115399582114126,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,17,25.829315,22.308829526908163,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,18,25.829315,28.077220347625538,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,19,25.829315,33.40545174708714,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,20,25.829315,37.1816705914027,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,21,25.829315,39.83275119926704,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,22,25.829315,38.751428216461356,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,23,25.829315,34.57341893154964,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-25,24,25.829315,30.897767408283954,DOM_INV,BLEND_w=0.30_baseline=p10
LOW,2025-12-26,1,37.243916666666664,33.6230438396263,LAB_INV,BLEND_w=0.00_baseline=p10
LOW,2025-12-26,2,37.243916666666664,30.454663229905627,LAB_INV,BLEND_w=0.00_baseline=p10
LOW,2025-12-26,3,37.243916666666664,28.14428897890712,LAB_INV,BLEND_w=0.00_baseline=p10
LOW,2025-12-26,4,37.243916666666664,26.787718036226345,LAB_INV,BLEND_w=0.00_baseline=p10
LOW,2025-12-26,5,37.243916666666664,26.315247092283,LAB_INV,BLEND_w=0.00_baseline=p10
LOW,2025-12-26,6,37.243916666666664,28.03237646029064,LAB_INV,BLEND_w=0.00_baseline=p10
LOW,2025-12-26,7,37.243916666666664,32.65585109472259,LAB_INV,BLEND_w=0.00_baseline=p10
LOW,2025-12-26,8,37.243916666666664,39.25115541290944,LAB_INV,BLEND_w=0.00_baseline=p10
LOW,2025-12-26,9,37.243916666666664,42.88575087292942,LAB_INV,BLEND_w=0.00_baseline=p10
LOW,2025-12-26,10,37.243916666666664,42.71840765569006,LAB_INV,BLEND_w=0.00_baseline=p10
